Order_ID,Order_Date,Promised_Delivery,Actual_Delivery,Supplier,Warehouse,Product,Category,Quantity,Lead_Time,Inventory_Level,Order_Status,Defect_Flag
O0001,2024-06-12,2024-06-18,2024-06-21,Supplier C,WH1,P004,Electronics,427,6,104,Delivered,0
O0002,2024-01-23,2024-02-03,2024-02-01,Supplier A,WH1,P001,Electronics,337,6,203,Delayed,0
O0003,2024-04-17,2024-04-25,2024-04-27,Supplier C,WH1,P010,Electronics,224,13,284,Delivered,1
O0004,2024-03-27,2024-04-02,2024-04-03,Supplier A,WH2,P008,Furniture,463,7,44,Delayed,0
O0005,2024-04-06,2024-04-12,2024-04-12,Supplier C,WH3,P001,Electronics,73,14,677,Delivered,0
O0006,2024-01-21,2024-01-29,2024-01-30,Supplier C,WH2,P009,Clothing,133,7,379,Delivered,0
O0007,2024-06-28,2024-07-04,2024-07-07,Supplier B,WH3,P006,Clothing,133,15,473,Delivered,1
O0008,2024-06-12,2024-06-20,2024-06-25,Supplier A,WH1,P007,Electronics,255,11,274,Delivered,1
O0009,2024-05-25,2024-06-04,2024-06-07,Supplier D,WH2,P012,Clothing,123,9,271,Delivered,0
O0010,2024-05-17,2024-05-26,2024-05-27,Supplier D,WH2,P004,Electronics,310,15,505,Delivered,0
O0011,2024-01-29,2024-02-05,2024-02-10,Supplier D,WH3,P010,Electronics,245,8,610,Cancelled,0
O0012,2024-05-21,2024-05-26,2024-05-29,Supplier C,WH3,P002,Furniture,200,7,445,Delivered,0
O0013,2024-03-08,2024-03-15,2024-03-13,Supplier C,WH3,P006,Clothing,128,14,382,Delayed,0
O0014,2024-05-15,2024-05-20,2024-05-20,Supplier D,WH1,P007,Electronics,499,15,314,Delivered,0
O0015,2024-05-25,2024-05-31,2024-06-03,Supplier D,WH1,P006,Clothing,115,7,675,Delivered,0
O0016,2024-03-08,2024-03-19,2024-03-21,Supplier B,WH3,P011,Furniture,393,9,665,Delivered,0
O0017,2024-04-25,2024-05-01,2024-04-30,Supplier A,WH2,P004,Electronics,351,9,225,Delivered,0
O0018,2024-01-16,2024-01-24,2024-01-22,Supplier C,WH1,P006,Clothing,192,7,685,Delivered,0
O0019,2024-05-26,2024-06-07,2024-06-12,Supplier D,WH2,P001,Electronics,99,9,674,Delivered,0
O0020,2024-04-29,2024-05-04,2024-05-02,Supplier D,WH3,P002,Furniture,177,7,196,Delivered,0
O0021,2024-04-18,2024-04-25,2024-04-26,Supplier B,WH1,P002,Furniture,75,10,667,Cancelled,0
O0022,2024-01-24,2024-02-01,2024-02-02,Supplier D,WH2,P010,Electronics,80,8,168,Delivered,1
O0023,2024-03-08,2024-03-20,2024-03-21,Supplier D,WH1,P007,Electronics,161,10,59,Delivered,0
O0024,2024-03-21,2024-03-26,2024-03-28,Supplier D,WH3,P006,Clothing,79,6,520,Delivered,0
O0025,2024-06-01,2024-06-07,2024-06-08,Supplier A,WH3,P001,Electronics,367,9,83,Delivered,0
O0026,2024-05-13,2024-05-23,2024-05-22,Supplier C,WH1,P011,Furniture,117,10,687,Delivered,0
O0027,2024-01-19,2024-01-24,2024-01-26,Supplier A,WH1,P006,Clothing,309,13,271,Delivered,0
O0028,2024-01-18,2024-01-26,2024-01-26,Supplier B,WH2,P009,Clothing,363,11,669,Delivered,0
O0029,2024-05-21,2024-05-30,2024-05-29,Supplier C,WH1,P004,Electronics,189,7,288,Delivered,0
O0030,2024-02-22,2024-03-02,2024-03-03,Supplier C,WH1,P010,Electronics,474,14,283,Delivered,0
O0031,2024-02-03,2024-02-12,2024-02-15,Supplier D,WH3,P012,Clothing,337,8,9,Delivered,1
O0032,2024-06-25,2024-07-02,2024-06-30,Supplier C,WH3,P006,Clothing,270,14,130,Delivered,0
O0033,2024-01-11,2024-01-21,2024-01-24,Supplier B,WH3,P007,Electronics,449,9,573,Delayed,0
O0034,2024-06-07,2024-06-14,2024-06-19,Supplier B,WH1,P002,Furniture,141,9,754,Delayed,0
O0035,2024-04-15,2024-04-23,2024-04-22,Supplier A,WH2,P010,Electronics,163,10,204,Delayed,0
O0036,2024-03-19,2024-03-27,2024-03-25,Supplier B,WH2,P008,Furniture,492,9,71,Cancelled,0
O0037,2024-06-13,2024-06-24,2024-06-24,Supplier A,WH1,P005,Furniture,347,14,271,Delivered,0
O0038,2024-03-29,2024-04-08,2024-04-10,Supplier A,WH2,P006,Clothing,180,12,45,Delayed,0
O0039,2024-05-17,2024-05-25,2024-05-26,Supplier A,WH3,P008,Furniture,389,11,127,Delayed,0
O0040,2024-03-20,2024-03-31,2024-04-01,Supplier C,WH3,P004,Electronics,265,11,680,Delayed,0
O0041,2024-02-14,2024-02-23,2024-02-25,Supplier A,WH2,P005,Furniture,270,12,593,Delivered,0
O0042,2024-04-23,2024-05-05,2024-05-07,Supplier D,WH3,P001,Electronics,195,9,527,Delivered,0
O0043,2024-01-24,2024-02-01,2024-01-31,Supplier B,WH1,P001,Electronics,175,10,486,Delivered,0
O0044,2024-04-26,2024-05-07,2024-05-06,Supplier D,WH2,P005,Furniture,125,15,671,Delivered,0
O0045,2024-01-28,2024-02-08,2024-02-07,Supplier D,WH1,P006,Clothing,484,9,124,Delivered,0
O0046,2024-06-19,2024-06-29,2024-07-01,Supplier D,WH3,P005,Furniture,430,13,486,Delivered,0
O0047,2024-06-12,2024-06-21,2024-06-22,Supplier B,WH2,P002,Furniture,415,14,292,Delivered,0
O0048,2024-05-18,2024-05-24,2024-05-23,Supplier B,WH2,P006,Clothing,411,8,219,Delivered,0
O0049,2024-05-18,2024-05-30,2024-05-28,Supplier B,WH2,P002,Furniture,488,12,783,Delivered,0
O0050,2024-03-31,2024-04-09,2024-04-14,Supplier D,WH3,P006,Clothing,299,12,224,Delivered,0
O0051,2024-04-09,2024-04-19,2024-04-22,Supplier B,WH2,P001,Electronics,251,12,606,Delivered,0
O0052,2024-06-13,2024-06-24,2024-06-29,Supplier D,WH1,P007,Electronics,244,8,335,Delivered,0
O0053,2024-04-07,2024-04-16,2024-04-16,Supplier A,WH2,P001,Electronics,229,12,229,Delivered,0
O0054,2024-06-15,2024-06-20,2024-06-19,Supplier B,WH1,P006,Clothing,172,6,129,Delivered,0
O0055,2024-02-25,2024-03-08,2024-03-13,Supplier C,WH1,P003,Clothing,448,10,167,Cancelled,0
O0056,2024-01-07,2024-01-16,2024-01-19,Supplier D,WH2,P006,Clothing,88,15,606,Delivered,0
O0057,2024-01-27,2024-02-05,2024-02-10,Supplier A,WH3,P007,Electronics,322,15,438,Delivered,0
O0058,2024-06-14,2024-06-24,2024-06-29,Supplier D,WH2,P010,Electronics,235,6,650,Delayed,0
O0059,2024-02-09,2024-02-20,2024-02-23,Supplier C,WH3,P012,Clothing,288,8,446,Delayed,0
O0060,2024-03-23,2024-03-31,2024-03-31,Supplier D,WH1,P011,Furniture,222,7,29,Delivered,0
O0061,2024-05-04,2024-05-12,2024-05-17,Supplier C,WH2,P008,Furniture,334,11,10,Delivered,0
O0062,2024-03-02,2024-03-13,2024-03-15,Supplier B,WH3,P011,Furniture,279,13,17,Delivered,0
O0063,2024-06-26,2024-07-04,2024-07-07,Supplier C,WH2,P009,Clothing,267,10,763,Delivered,0
O0064,2024-04-26,2024-05-05,2024-05-05,Supplier B,WH1,P006,Clothing,211,10,122,Delayed,1
O0065,2024-06-25,2024-07-02,2024-07-01,Supplier D,WH2,P009,Clothing,101,9,198,Delivered,0
O0066,2024-03-18,2024-03-23,2024-03-22,Supplier C,WH1,P007,Electronics,407,14,129,Delivered,0
O0067,2024-01-27,2024-02-01,2024-02-01,Supplier D,WH2,P008,Furniture,144,15,52,Delivered,0
O0068,2024-01-30,2024-02-05,2024-02-06,Supplier A,WH3,P003,Clothing,127,12,152,Delayed,1
O0069,2024-01-22,2024-01-30,2024-02-01,Supplier D,WH3,P006,Clothing,447,7,535,Delivered,1
O0070,2024-03-17,2024-03-28,2024-03-30,Supplier A,WH3,P003,Clothing,440,10,212,Delivered,0
O0071,2024-01-21,2024-01-28,2024-01-27,Supplier A,WH1,P010,Electronics,280,9,705,Delivered,0
O0072,2024-02-29,2024-03-09,2024-03-12,Supplier D,WH1,P006,Clothing,185,10,640,Delivered,0
